TS,clientId,opType,key,value
1529580866192,0,INC,10,9
1529580866192,2,INC,8,8
1529580866192,3,INC,9,9
1529580866192,4,INC,8,7
1529580866200,1,DEC,8,10
1529580866257,3,DEC,8,9
1529580866263,0,DEC,9,8
1529580866273,4,INC,1,7
1529580866288,2,DEC,9,9
1529580866292,1,DEC,8,2
1529580866319,0,DEC,7,7
1529580866343,3,DEC,10,7
1529580866352,2,DEC,9,7
1529580866372,4,INC,10,8
1529580866374,0,DEC,7,8
1529580866382,1,INC,7,7
1529580866421,2,DEC,7,8
1529580866434,3,DEC,10,8
1529580866435,0,DEC,9,7
1529580866469,1,INC,4,8
1529580866471,4,INC,9,10
1529580866487,3,DEC,10,7
1529580866501,0,DEC,9,10
1529580866525,2,DEC,7,8
1529580866529,1,INC,9,10
1529580866543,4,INC,7,9
1529580866585,3,DEC,9,8
1529580866588,1,DEC,9,10
1529580866595,0,INC,7,9
1529580866615,2,INC,8,8
1529580866624,4,DEC,9,10
1529580866665,1,INC,8,10
1529580866667,3,INC,4,5
1529580866683,0,INC,3,7
1529580866690,2,INC,7,10
1529580866691,4,INC,10,9
1529580866719,3,INC,7,8
1529580866753,1,INC,8,7
1529580866756,0,DEC,10,8
1529580866760,4,DEC,9,7
1529580866760,2,DEC,9,7
1529580866782,3,INC,7,4
1529580866833,1,INC,0,7
1529580866837,2,DEC,9,9
1529580866842,4,DEC,10,10
1529580866860,0,INC,9,10
1529580866880,3,INC,8,9
1529580866896,1,DEC,7,8
1529580866930,4,DEC,9,9
1529580866937,2,INC,7,8
1529580866941,3,DEC,0,10
1529580866952,0,DEC,9,8
1529580866970,1,DEC,9,8
1529580866998,4,INC,8,9
1529580867003,0,INC,8,9
1529580867014,3,INC,9,9
1529580867023,1,DEC,3,7
1529580867039,2,INC,7,8
1529580867057,4,INC,8,4
1529580867088,0,DEC,9,10
1529580867109,3,INC,9,10
1529580867117,2,DEC,8,8
1529580867117,1,INC,7,9
1529580867158,4,INC,8,9
1529580867158,0,DEC,0,7
1529580867168,3,INC,3,4
1529580867173,2,DEC,7,8
1529580867214,1,DEC,9,8
1529580867219,4,INC,8,7
1529580867234,3,INC,10,10
1529580867243,0,INC,8,8
1529580867269,2,DEC,7,8
1529580867271,1,INC,9,7
1529580867317,4,DEC,10,8
1529580867317,3,DEC,8,9
1529580867338,0,INC,8,7
1529580867368,2,INC,5,3
1529580867370,1,INC,7,8
1529580867393,4,DEC,10,9
1529580867418,3,DEC,9,7
1529580867435,0,DEC,9,9
1529580867455,1,INC,10,10
1529580867463,4,INC,10,7
1529580867463,2,INC,9,0
1529580867506,0,DEC,9,10
1529580867513,3,DEC,10,7
1529580867515,4,INC,6,10
1529580867516,1,INC,3,10
1529580867516,2,INC,10,7
1529580867585,2,INC,7,9
1529580867602,3,DEC,9,8
1529580867607,0,DEC,1,7
1529580867607,4,DEC,9,9
1529580867619,1,INC,8,10
1529580867663,2,INC,8,8
1529580867682,3,INC,7,8
1529580867686,4,INC,10,7
1529580867698,1,DEC,10,9
1529580867702,0,DEC,8,8
1529580867716,2,INC,1,8
1529580867757,3,DEC,7,1
1529580867778,4,INC,10,9
1529580867778,1,INC,10,10
1529580867790,0,DEC,10,6
1529580867808,2,INC,7,5
1529580867818,3,INC,9,8
1529580867830,1,DEC,8,8
1529580867867,4,DEC,7,9
1529580867890,1,INC,9,7
1529580867890,0,DEC,7,7
1529580867890,2,DEC,7,7
1529580867894,3,INC,7,8
1529580867943,4,DEC,7,10
1529580867974,2,INC,8,10
1529580867974,1,INC,10,7
1529580867975,3,INC,8,8
1529580867987,0,INC,2,9
1529580868038,4,INC,9,10
1529580868056,3,DEC,9,7
1529580868062,1,DEC,9,7
1529580868072,2,DEC,10,5
1529580868072,0,INC,9,8
1529580868133,4,DEC,8,9
1529580868133,3,DEC,9,7
1529580868152,2,INC,7,10
1529580868157,1,DEC,10,3
1529580868167,0,INC,9,10
1529580868195,4,DEC,9,10
1529580868206,3,DEC,9,0
1529580868206,2,INC,10,2
1529580868244,1,DEC,4,10
1529580868262,3,INC,10,10
1529580868263,0,INC,7,7
1529580868294,4,INC,8,10
1529580868304,2,DEC,9,9
1529580868324,3,INC,0,7
1529580868330,0,INC,8,7
1529580868332,1,DEC,7,9
1529580868387,2,DEC,1,10
1529580868388,4,INC,8,9
1529580868414,3,DEC,8,8
